,Sport,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Event,Medal
0,Athletics,519,519,519,512,462,444,519,519,519,519,519,519,519,26
1,Basketball,255,255,255,254,227,211,255,255,255,255,255,255,255,58
2,Beach Volleyball,48,48,48,48,47,47,48,48,48,48,48,48,48,26
3,Boxing,80,80,80,80,67,66,80,80,80,80,80,80,80,5
4,Equestrianism,170,170,170,168,149,137,170,170,170,170,170,170,170,9
5,Football,306,306,306,306,279,263,306,306,306,306,306,306,306,136
6,Judo,120,120,120,120,107,107,120,120,120,120,120,120,120,22
7,Sailing,181,181,181,180,161,154,181,181,181,181,181,181,181,34
8,Shooting,122,122,122,114,85,60,122,122,122,122,122,122,122,8
9,Swimming,507,507,507,500,425,404,507,507,507,507,507,507,507,20
10,Volleyball,285,285,285,285,282,282,285,285,285,285,285,285,285,120
